date,PPM,Previous day traincrew absences,Number of planned cancellations,Number of unplanned cancellations
2026-04-20,93.5,31,0,27
2026-04-19,91.9,24,0,19
2026-04-18,94.8,14,0,16
2026-04-17,79.3,27,0,251
2026-04-16,93.6,14,0,35
2026-04-15,90.2,16,0,75
2026-04-14,94.2,9,0,7
2026-04-13,95,31,0,7
2026-04-12,92.9,28,0,4
2026-04-11,93.5,28,0,12
2026-04-10,94.3,27,0,12
2026-04-09,93,44,0,14
2026-04-08,91.5,70,0,9
2026-04-07,91.2,49,0,25
2026-04-06,94.3,14,0,20
2026-04-05,89.1,11,0,28
2026-04-04,89.3,17,0,49
2026-04-03,95.1,4,0,10
2026-04-02,94,10,0,18
2026-04-01,92.8,4,0,44
2026-03-31,92.3,NA,NA,NA
2026-03-30,93.6,42,0,7
2026-03-29,90.4,35,0,16
2026-03-28,91.4,22,0,17
2026-03-27,91.7,11,0,29
2026-03-26,93,17,0,25
2026-03-25,94.6,24,0,11
2026-03-24,92.9,10,0,24
2026-03-23,94.1,13,0,21
2026-03-22,91.6,3,0,17
2026-03-21,92.2,5,0,20
2026-03-20,93.3,5,0,19
2026-03-19,92.3,9,0,28
2026-03-18,92.1,9,0,29
2026-03-17,93.2,12,0,28
2026-03-16,91.7,19,0,22
2026-03-15,93.1,17,0,83
2026-03-14,85.8,3,0,57
2026-03-13,88,9,0,48
2026-03-12,75.8,23,0,173
2026-03-11,87.5,29,0,73
2026-03-10,90,10,0,51
2026-03-09,86.3,19,0,74
2026-03-08,70.5,8,0,271
2026-03-07,93.4,10,0,25
2026-03-06,93.2,39,0,38
2026-03-05,92,5,0,29
2026-03-04,87.2,7,0,81
2026-03-03,92.1,21,0,38
2026-03-02,94.8,10,0,24
2026-02-28,91.3,14,0,29
2026-02-27,93,8,0,35
2026-02-26,87.3,23,0,156
2026-02-25,87.1,11,0,59
2026-02-24,90.5,16,0,83
2026-02-23,94.1,13,0,21
2026-02-22,89.5,20,0,31
2026-02-21,89.1,14,0,52
2026-02-20,91.8,11,0,31
2026-02-19,95.1,15,0,17
2026-02-18,93.3,4,0,20
2026-02-17,91.3,26,0,29
2026-02-16,91.5,5,0,57
2026-02-15,92.8,12,0,19
2026-02-14,87.5,16,0,114
2026-02-13,94.2,8,0,29
2026-02-12,90.4,16,0,64
2026-02-11,93.9,11,0,20
2026-02-10,93.2,5,0,24
2026-02-09,93.8,6,0,75
2026-02-08,92.9,6,0,31
2026-02-07,91.7,7,0,72
2026-02-06,92.5,11,0,36
2026-02-05,91.1,8,0,63
2026-02-04,87.2,7,0,81
2026-02-03,93.3,6,0,36
2026-02-02,93.5,23,0,14
2026-01-31,91.5,43,0,28
2026-01-30,90.2,NA,NA,NA
2026-01-29,92,12,0,34
2026-01-28,91,9,0,37
2026-01-27,83.8,17,0,81
2026-01-26,94.3,6,0,7
2026-01-25,94.3,6,0,7
2026-01-24,94.3,7,0,26
2026-01-23,91.4,14,0,49
2026-01-22,92.5,18,0,44
2026-01-21,88.4,24,0,36
2026-01-20,90.8,55,0,47
2026-01-19,92.6,8,0,24
2026-01-18,91.6,6,0,5
2026-01-17,93.9,4,0,20
2026-01-16,91.7,21,0,52
2026-01-15,91.4,20,0,39
2026-01-14,93.2,20,0,30
2026-01-13,92.5,7,0,39
2026-01-12,84.2,11,0,55
2026-01-11,84.2,10,0,48
2026-01-10,90.7,14,0,40
2026-01-09,90.4,5,0,42
2026-01-08,90.9,75,0,43
2026-01-07,88.5,57,0,59
2026-01-06,84.9,21,0,61
2026-01-05,85.9,24,0,81
2026-01-04,92.7,11,0,16
2026-01-03,82.6,24,0,131
